Normal,Student,Plackett,Clayton,Frank,Gumbel
-1.19452921,-1.177563904,-1.085677705,-1.226964296,-1.136899942,-1.123391885
-1.264686845,-1.374446543,-1.216966189,-1.310906311,-1.374781591,-1.211020689
-1.141558746,-1.212097974,-1.08958077,-1.30925935,-1.170710396,-1.102588215
-1.079471054,-0.888826469,-0.933069531,-1.042053274,-0.945297715,-0.925494321
-0.934558252,-0.922529421,-0.943661435,-1.044020447,-0.96802688,-0.89407921
-0.761529119,-0.803940545,-0.752683524,-0.880262029,-0.77611802,-0.770137198
-0.778090615,-0.700495151,-0.651416858,-0.739866523,-0.731297551,-0.666260169
-0.686092764,-0.559752415,-0.617975087,-0.67036708,-0.628031242,-0.601761588
-0.666340751,-0.763232398,-0.718005832,-0.781149705,-0.723285597,-0.773659234
-0.417120367,-0.462410014,-0.423161223,-0.406962443,-0.451247812,-0.401312554
-0.392694045,-0.401114534,-0.328532319,-0.429832002,-0.405411365,-0.433879374
-0.228876571,-0.279344248,-0.302791952,-0.308076673,-0.237762553,-0.218163654
-0.193865184,-0.230541777,-0.224313691,-0.289468526,-0.143856476,-0.233491599
-0.154996829,-0.116647577,-0.109757358,-0.179375603,-0.087756297,-0.087431266
-0.051096518,-0.065651326,-0.091864956,-0.141326873,-0.032290109,-0.026668292
-0.867177612,-0.904240904,-0.901829784,-0.96372518,-0.857909699,-0.837445307
-0.997011471,-1.04353688,-1.070405478,-1.074408928,-1.061759788,-1.0199481
-0.987938418,-0.947743812,-0.909524862,-0.903922652,-0.851788248,-0.863354072
-0.781615687,-0.817860541,-0.711536169,-0.801544576,-0.716621165,-0.76379968
-0.794843839,-0.783918655,-0.805551685,-0.961808744,-0.773184702,-0.876066872
-0.733977352,-0.77438676,-0.781193668,-0.906531952,-0.71114661,-0.800312708
-0.700656383,-0.638055791,-0.674410773,-0.676984728,-0.670228943,-0.581436642
-0.780340396,-0.728619628,-0.796765788,-0.68253469,-0.665987636,-0.620288513
-0.633110354,-0.582065978,-0.59107636,-0.623790848,-0.636021139,-0.588978602
-0.576441498,-0.513905461,-0.494719027,-0.702564201,-0.528154093,-0.508857335
-0.62012732,-0.631374577,-0.576539265,-0.739523634,-0.498917493,-0.528834598
-0.584945027,-0.589465034,-0.540561154,-0.631334194,-0.589393665,-0.52450899
-0.460722752,-0.53119648,-0.391633955,-0.539897434,-0.458114558,-0.471068999
-0.415400304,-0.367051255,-0.452589369,-0.414096874,-0.371968231,-0.326240725
-0.39400237,-0.438695291,-0.331133247,-0.410442084,-0.328444809,-0.276304768
-0.29669211,-0.318655424,-0.272586511,-0.352254423,-0.334034084,-0.239503808
-0.202407021,-0.30299188,-0.231219073,-0.275885016,-0.243945811,-0.246027896
-0.250640209,-0.203688977,-0.166485229,-0.240633542,-0.197950256,-0.121090475
-0.151160809,-0.154675257,-0.139606303,-0.127505491,-0.12337551,-0.053597101
-0.109340322,-0.065730827,-0.117034712,-0.227933675,-0.091900459,-0.08120862
-0.226606686,-0.249164068,-0.196616181,-0.333881621,-0.252926026,-0.146885769
