Normal,Student,Plackett,Clayton,Frank,Gumbel
-4.095408761,-4.343172935,-3.98611691,-4.480981333,-3.768675913,-3.995813038
-4.314148421,-4.241108289,-3.860409033,-4.101797481,-3.719568486,-4.24154731
-3.956846749,-3.53967653,-3.490818394,-3.685333182,-3.47792015,-3.668871822
-4.080425924,-4.057180227,-3.915425938,-4.077045526,-3.722640621,-3.830269753
-5.912986362,-5.99305405,-5.849930488,-6.010901901,-5.515427532,-5.776612043
-5.648255893,-5.477168751,-5.506075848,-5.923249343,-5.030397732,-5.474679117
-5.070791655,-5.171173847,-4.952333331,-5.186233063,-4.751931836,-4.907745481
-4.952422714,-4.724706959,-4.451488467,-4.962023201,-4.397387838,-4.442511613
-4.829557059,-4.626459411,-4.529658959,-4.953617836,-4.302640041,-4.463599622
-4.217423298,-4.348675238,-4.087601146,-4.425595806,-3.864964779,-4.22676857
-4.001706813,-3.999326289,-3.863220246,-4.236374722,-3.540056042,-3.527716932
-4.032224374,-3.761276053,-3.570038836,-3.81882703,-3.400648326,-3.612468606
-3.554124122,-3.614085525,-3.378879862,-3.679751299,-3.497091608,-3.49196864
-3.44308448,-3.234931996,-3.310584945,-3.374257288,-3.070560514,-3.217603073
-3.810029325,-3.829128521,-3.426330044,-3.997769198,-3.533092295,-3.604358795
-3.604727733,-3.536731876,-3.145338698,-3.504255495,-3.09536308,-3.400438005
-3.247931138,-3.250847002,-2.991558613,-3.230532159,-2.993224395,-3.316461474
-2.91290833,-3.130080783,-2.780266876,-2.992370663,-2.714738253,-2.82703524
-2.713236433,-2.618668857,-2.705346862,-2.920445919,-2.54416542,-2.569356623
-2.538975602,-2.526608209,-2.282530591,-2.648193292,-2.147576403,-2.365348009
-2.30042784,-2.339153226,-2.209443633,-2.334342763,-2.047131079,-2.294470811
-2.675458234,-2.755884938,-2.653972276,-2.779617862,-2.562119721,-2.701688695
-2.428139805,-2.504415228,-2.464997418,-2.643875132,-2.240264478,-2.32712351
-2.18706647,-2.454471401,-2.163738958,-2.377004287,-2.012811868,-2.311083322
-2.216839731,-2.227900572,-2.000124968,-2.125439733,-1.917106111,-2.187809603
-2.740740859,-2.627103242,-2.415670932,-2.636555174,-2.354214333,-2.443901488
-2.443276801,-2.421134792,-2.219396435,-2.494468332,-2.194067112,-2.455636961
-2.382228874,-2.306169763,-2.112609347,-2.56443429,-2.068265534,-2.273536385
-2.548944615,-2.511518228,-2.354211458,-2.645509782,-2.215129661,-2.397591852
-2.292620714,-2.461613307,-2.209162667,-2.227370997,-2.11822763,-2.223528975
-2.298127529,-2.352083438,-2.104151683,-2.301374168,-1.924539941,-2.147950517
-2.292957799,-2.130435412,-2.130966781,-2.381299401,-2.016825718,-2.177889139
-2.311111124,-2.305335564,-2.280985666,-2.413731039,-2.060180117,-2.239725804
-2.130692077,-2.101652424,-2.184891892,-2.238636905,-1.960131111,-2.160241582
-2.07947197,-1.947435944,-2.063490356,-2.291123082,-1.901391557,-2.037756314
-2.459141952,-2.283511998,-2.212155755,-2.342432322,-2.086859455,-2.221491551
-2.040253918,-2.27179471,-2.206675409,-2.413332147,-2.06068258,-2.12972239
-2.173640805,-2.069276885,-1.94322457,-2.267639659,-1.876595008,-2.110780222
-1.990386301,-1.897220617,-1.821554262,-1.999476668,-1.743214534,-1.830344428
-1.861925061,-1.965883969,-1.714015025,-1.990641335,-1.607327058,-1.711192962
-1.75325571,-1.732924136,-1.579184238,-1.793327708,-1.530892616,-1.540246248
-1.50831442,-1.654714321,-1.490053851,-1.642899993,-1.279501251,-1.356009433
-1.670986008,-1.748965706,-1.583416456,-1.722681373,-1.590148795,-1.584276349
-1.574060995,-1.712853289,-1.590571363,-1.712489847,-1.408964068,-1.595026013
-1.512753509,-1.477014239,-1.421939015,-1.536041275,-1.391654822,-1.517392219
-1.593883751,-1.421320179,-1.255599889,-1.531599162,-1.202003195,-1.394567027
-1.458280893,-1.387331267,-1.225092817,-1.470809541,-1.153021721,-1.156899285
-1.774999927,-1.788350634,-1.448249322,-1.69420147,-1.577354364,-1.604526726
-1.580564351,-1.529258547,-1.559490095,-1.652010894,-1.309871357,-1.504662054
-1.468127109,-1.406268336,-1.336547699,-1.578487521,-1.359578603,-1.399020019
-1.378839548,-1.291403144,-1.320779314,-1.39726035,-1.094851221,-1.264642721
-1.495913475,-1.48667221,-1.299415782,-1.551858691,-1.315119728,-1.334179027
-1.31973445,-1.302553146,-1.220294518,-1.584083998,-1.254525748,-1.27658344
-1.309579043,-1.231324027,-1.114560615,-1.279173896,-1.151918981,-1.195463986
-1.32200353,-1.194315061,-1.047793702,-1.380532683,-1.050594836,-1.039952639
-1.174804582,-1.145751682,-1.110358509,-1.300675795,-1.075461252,-1.173866889
-1.430289765,-1.414697895,-1.29220924,-1.273675651,-1.087496162,-1.264235987
-1.26651742,-1.23610026,-1.105455076,-1.286343077,-1.01824758,-1.066436461
-1.229904918,-1.245656145,-1.166365793,-1.359024955,-0.922911574,-1.158723801
-1.16314184,-1.18491119,-0.972142993,-1.179658262,-0.912723789,-1.041293621
-1.468884331,-1.634871804,-1.49762552,-1.654265772,-1.322468196,-1.393973571
-1.51523495,-1.421377121,-1.337679766,-1.375493238,-1.254994273,-1.355616317
-1.489865069,-1.476323746,-1.369333483,-1.57629462,-1.256346562,-1.354098647
-1.560051421,-1.625487108,-1.393771596,-1.530828806,-1.258384645,-1.379561913
-2.074616313,-2.073499611,-1.917619223,-2.166350944,-1.848572519,-2.024665948
-2.013704307,-2.055516773,-1.901656127,-2.05285685,-1.725479362,-1.977787482
-2.128745034,-2.02516179,-1.817833126,-2.092716927,-1.781078614,-1.974763978
-1.888212656,-1.774551357,-1.661751811,-2.07203319,-1.56040523,-1.838775563
-1.772859367,-1.866334466,-1.735250931,-1.853892029,-1.558093397,-1.663281919
-1.876609153,-1.862136329,-1.626092647,-1.989483371,-1.597951347,-1.704149175
-1.760381027,-1.738716924,-1.656618792,-1.794664066,-1.578526601,-1.6667833
-2.652219528,-2.631537973,-2.490444775,-2.810670357,-2.306824496,-2.60720216
-3.059804063,-3.044273245,-2.957649007,-2.802145277,-2.713090908,-2.965735261
-2.969363909,-2.935479084,-2.709273967,-3.191519007,-2.625917192,-2.89065929
-2.662792775,-2.881414402,-2.608078988,-2.929727092,-2.41907554,-2.6838248
-2.635196379,-2.616117022,-2.328544546,-2.773774315,-2.439914497,-2.482621998
-2.457077767,-2.493209865,-2.337479573,-2.509302092,-2.135864264,-2.295322022
-2.36346961,-2.39124476,-2.239637647,-2.576069556,-2.15254408,-2.157769284
-2.097702951,-2.063886045,-2.026551792,-2.224115187,-1.919924507,-2.080653886
-1.921565102,-2.247514441,-1.943864202,-2.222061834,-1.778544213,-2.036142104
-1.894661945,-1.853527641,-1.758379958,-2.058709575,-1.571910552,-1.70115607
-3.916037857,-3.81545419,-3.824526606,-3.957271322,-3.567509172,-3.929329777
-3.619204526,-3.476026178,-3.466408314,-3.407771524,-3.149931462,-3.467029884
-3.399867078,-3.347088399,-3.035843309,-3.424504853,-2.942678562,-3.12420263
-3.577725894,-3.43213123,-3.294859177,-3.385238268,-3.137300989,-3.375033487
-3.020657195,-3.107828367,-2.777398422,-3.123195089,-2.877922173,-2.927663682
-2.849278856,-3.109905715,-2.670097381,-3.094880794,-2.664036053,-2.900566108
-2.811023082,-3.047130517,-2.766026918,-2.81617577,-2.679464426,-2.808150482
-2.898231707,-2.979508751,-2.780001483,-2.942392061,-2.374106177,-2.59681508
-2.533964306,-2.612293345,-2.549780359,-2.713781575,-2.360673155,-2.520917512
-2.595318818,-2.772571545,-2.553814855,-2.763968059,-2.404154762,-2.747921531
-2.408286111,-2.496816995,-2.405200911,-2.555389075,-2.35382105,-2.557223131
-2.387025119,-2.466290028,-2.270486274,-2.665958274,-2.122588391,-2.197248151
-2.434489041,-2.502882159,-2.242402807,-2.425077895,-2.133894368,-2.355796734
-2.303860589,-2.312433906,-2.425123187,-2.580064458,-1.997365453,-2.233181713
-2.180219103,-2.279897034,-1.978041001,-2.285333355,-1.968103313,-2.172294929
-2.019056144,-2.080470101,-1.919296485,-2.096095555,-1.717107439,-2.058091079
-1.838348076,-1.864134835,-1.770925592,-1.895300511,-1.632173278,-1.838445059
-1.641119917,-1.710798114,-1.738749339,-1.818471041,-1.637356079,-1.741937255
-1.665131447,-1.649837901,-1.495539093,-1.761271301,-1.449903167,-1.539127653
-1.502422249,-1.419971448,-1.514104074,-1.550972675,-1.246596997,-1.436922598
-1.364832351,-1.540612854,-1.346764516,-1.413146271,-1.230627825,-1.305681434
-1.237990948,-1.410158224,-1.188670106,-1.404206572,-1.170991895,-1.293233346
-1.372756432,-1.294590143,-1.276645284,-1.364902464,-1.144893403,-1.179321664
-1.523171436,-1.328658933,-1.337701424,-1.470346389,-1.166641896,-1.273200721
-1.412025153,-1.353386527,-1.231987172,-1.464281511,-1.083603535,-1.336324701
-1.453545185,-1.348870843,-1.337884916,-1.418543333,-1.132167758,-1.283691525
-1.373431471,-1.278691525,-1.286273314,-1.443566422,-1.08024449,-1.32355159
-1.711016803,-1.623888076,-1.612247184,-1.749856234,-1.503569114,-1.584863609
-1.825549099,-1.90293966,-1.677142175,-1.778517745,-1.53280628,-1.663762911
-1.645230742,-1.765145605,-1.482852351,-1.707352102,-1.502964293,-1.571930707
-1.810871954,-1.911122161,-1.70969526,-1.866018234,-1.604822326,-1.707978623
-2.119581718,-2.028879516,-2.07052187,-2.172894911,-1.798162515,-2.02319804
-2.15457254,-2.16279087,-1.980189981,-2.316847399,-1.971422082,-2.020092301
-2.152504194,-1.958444965,-1.903621359,-1.973866817,-1.889313422,-1.907900792
-2.020590164,-2.053205813,-1.905218387,-2.045152152,-1.707429466,-1.973884498
-1.983182352,-1.943406762,-1.889702311,-1.968047294,-1.696130497,-1.964875843
-2.215244174,-2.483216754,-2.174017221,-2.188509569,-2.008527361,-2.337123648
-2.282145223,-2.215399318,-2.028322317,-2.296027686,-1.827514623,-1.985118486
-2.326989051,-2.300495433,-2.273460234,-2.378181042,-2.114485753,-2.350139859
-3.83202483,-4.051707028,-3.98688695,-4.163373162,-3.854396134,-3.985939507
-4.156778969,-3.924245001,-3.771956434,-3.988020094,-3.728033642,-3.675815943
-3.705051813,-3.631288614,-3.57416614,-3.766466806,-3.341545609,-3.440242738
-3.305083062,-3.383011036,-3.165880463,-3.445417718,-3.158130295,-3.103331768
-4.043633139,-4.125888803,-3.789269281,-4.220203823,-3.7174596,-3.958489027
-3.574050321,-3.622567562,-3.503040198,-3.636920648,-3.240960489,-3.639481774
-3.741887973,-3.612328722,-3.671252608,-3.615781026,-3.3729262,-3.506235299
-3.380478737,-3.503532345,-3.296788421,-3.782974427,-3.112031375,-3.348009437
-4.227758691,-4.028085718,-3.859621326,-4.179149299,-3.734666212,-3.83650984
-4.956277855,-4.725458279,-4.651356447,-4.864183571,-4.489427208,-4.582895001
-5.663869155,-5.662598314,-5.366792236,-5.955536677,-5.234387728,-5.533526608
-6.348680663,-6.256994794,-6.441256858,-6.705218016,-6.008284079,-6.212477104
-6.247632952,-6.372535659,-6.178328818,-6.467198867,-5.834348929,-6.280308098
-6.118797622,-5.475054881,-5.264632678,-5.871401167,-5.352263256,-5.617814515
-5.538564438,-5.306399809,-5.218195129,-5.68231827,-5.1719214,-5.105281636
-4.966587473,-5.042636525,-4.850903522,-5.239971104,-4.508481822,-4.787708143
-4.862431839,-4.909111686,-4.798880089,-5.272538249,-4.486212472,-4.975508241
-5.04428587,-5.099523207,-4.720979434,-5.196778071,-4.741273163,-4.800102589
-6.005696373,-6.064371516,-5.986010593,-6.188670959,-5.524862347,-5.803130345
-5.887377336,-5.826474374,-5.58020967,-6.130064897,-5.305728896,-5.873346631
-5.743280308,-5.799053881,-5.690587954,-5.886517533,-5.409573635,-5.693101756
-5.144669557,-5.709932633,-5.31524221,-5.690044937,-5.266996999,-5.332575608
-5.081110656,-5.030955496,-4.993713216,-5.104738589,-4.811456116,-4.924731605
-5.363244464,-5.365257322,-4.949820526,-5.386726281,-4.604789976,-5.038421261
-4.66556011,-4.984747119,-4.858536791,-5.144100477,-4.473604827,-4.835697017
-4.421734937,-4.741481512,-4.237443069,-4.625461017,-4.039733483,-4.436812977
-4.915230862,-4.826515557,-4.400539794,-4.636017761,-4.151925606,-4.542139118
-4.568627157,-4.673323405,-4.412554652,-4.819032094,-4.197602968,-4.445090219
-4.116767443,-4.125124035,-3.945330122,-4.221516123,-3.790507141,-4.153774741
-3.817821415,-3.847394771,-3.50578638,-3.877061977,-3.524503231,-3.771150474
-3.499435461,-3.57015774,-3.43041176,-3.600750906,-2.985477777,-3.281652629
-3.227656258,-3.280283905,-3.040136435,-3.262293433,-2.725610677,-2.953376086
-3.080712251,-3.028287404,-2.963176309,-3.27643252,-2.714564895,-2.824245664
-2.752681106,-2.862729561,-2.626558108,-2.872153463,-2.523403387,-2.650961375
-2.596158186,-2.559222368,-2.513879608,-2.525493616,-2.344595322,-2.533657649
-2.315201318,-2.239333853,-2.305864884,-2.57243095,-2.151274307,-2.151878468
-2.13243036,-2.078721652,-2.081795017,-2.244037606,-1.933438739,-2.097803031
-2.129833791,-2.117485151,-1.890784973,-2.092288308,-1.760429965,-1.956775913
-2.068473829,-2.038288085,-1.976793338,-2.183585399,-1.713129151,-1.840059178
-2.05817677,-2.15054617,-1.928217741,-2.17430546,-1.781734574,-1.929909882
-1.947248845,-1.821372544,-1.747607074,-1.953155087,-1.733256169,-1.805157171
-1.82295371,-1.862634887,-1.69775059,-1.931000546,-1.587043656,-1.772606175
-1.787510514,-1.879016165,-1.892883343,-2.003055567,-1.645387925,-1.928841456
-1.754235889,-1.792360343,-1.572610768,-1.749651042,-1.570329682,-1.585465872
-1.89536488,-1.770850767,-1.614466631,-1.8441565,-1.495079317,-1.622256576
-1.658682841,-1.649134719,-1.637370867,-1.912338124,-1.637218505,-1.685504764
-2.328072517,-2.283224946,-2.250743062,-2.551913697,-2.225914079,-2.344313785
-2.330588319,-2.29170701,-2.106595589,-2.192212555,-2.095346185,-2.280425183
-2.26223939,-2.133438113,-2.035976016,-2.317951742,-1.879597998,-2.108225307
-1.971940174,-1.950216029,-1.768647093,-2.064876308,-1.741690476,-1.958372626
-1.952649771,-1.913191934,-1.702920241,-2.03588457,-1.508054909,-1.771299529
-2.177376035,-2.263268138,-2.054121247,-2.300228753,-1.971191725,-2.123498941
-1.980436578,-2.020582418,-1.844064237,-2.018187167,-1.675168443,-2.06368199
-3.541506865,-3.471034559,-3.400370638,-3.870016477,-3.116217917,-3.468015433
-3.264768839,-3.226177954,-2.931948052,-3.372007002,-2.850272597,-3.083718259
-3.803578688,-3.892251944,-3.460173624,-4.131355922,-3.54357114,-3.833595412
-3.905280349,-4.083020064,-3.650201486,-4.023845395,-3.381484742,-3.745426159
-4.278301155,-4.548521464,-4.194544424,-4.488871946,-4.041738857,-4.315275813
-5.180608781,-5.283256051,-4.908054677,-5.419342545,-4.713754286,-5.16772008
-6.94454041,-6.740724339,-6.142476851,-6.858770472,-6.034377835,-6.41482206
-6.189995527,-6.557668518,-6.014969007,-6.278719916,-5.619738093,-6.059791589
-5.809588153,-5.774055834,-5.41232667,-5.883145409,-5.26444161,-5.581007991
-5.118913888,-5.152081851,-5.006272724,-5.087836705,-4.854374156,-4.939073838
-4.619112819,-4.656215238,-4.570116178,-4.751775937,-4.375434282,-4.634661748
-4.368635025,-4.647880457,-4.046734278,-4.557690111,-3.878475794,-4.286444432
-3.869193806,-4.159796599,-3.874679307,-4.057668469,-3.603481621,-3.999298696
-3.85628081,-3.959895404,-3.625568062,-4.189561447,-3.533923132,-3.738721614
-4.089342737,-4.094151233,-4.029762463,-4.282293036,-3.609061502,-3.971253288
-3.63504935,-3.714752683,-3.581508463,-3.863982097,-3.318336749,-3.564839002
-4.759332426,-4.816064005,-4.772769672,-4.912954047,-4.474510141,-4.717894801
-4.962613031,-4.590679496,-4.473603065,-4.86861378,-4.396531842,-4.538620047
-4.766206886,-4.727199765,-4.622718841,-4.963409783,-4.296383515,-4.530988143
-5.696099632,-5.601052246,-5.262894929,-5.8390693,-5.051281303,-5.507187801
-5.504062364,-5.267716459,-5.155785862,-5.406924659,-4.945776747,-5.360617961
-5.379755813,-5.2715299,-4.887514935,-5.222371557,-4.70286167,-5.064832026
-4.554959801,-4.771255606,-4.307890745,-4.804885886,-4.256430496,-4.424219767
-4.378731789,-4.274068625,-4.068796889,-4.724902206,-3.997936209,-4.200457168
-4.627668931,-4.745673325,-4.327664008,-4.616896131,-4.279360554,-4.320031135
-4.825310695,-4.724368939,-4.248372008,-4.867945182,-4.279118867,-4.427172159
-4.299107917,-4.545464513,-4.190264855,-4.513324228,-3.97392974,-4.26674582
-3.928360682,-3.825789584,-3.81662615,-4.18754346,-3.584232471,-3.63104839
-5.016731265,-4.836749601,-4.732331892,-4.929531113,-4.546437918,-4.732210614
-4.560529513,-4.433210897,-4.319576318,-4.506234877,-4.306861405,-4.382666312
-3.892407357,-4.145022279,-3.782648609,-4.285130035,-3.714321683,-3.896318624
-6.040318257,-5.869024253,-5.692566636,-5.993422793,-5.460671143,-5.707728786
-5.810570845,-5.615541606,-5.344339976,-5.914568554,-5.043603184,-5.468890747
-5.286624081,-5.422731924,-5.171153066,-5.282606971,-4.793340478,-5.042169924
-5.340513328,-5.504391864,-5.014177282,-5.46843579,-4.710165942,-5.12422331
-4.984816556,-5.249252842,-4.940827518,-5.06036017,-4.483713829,-4.83521077
-5.190986546,-5.177758993,-4.679817146,-5.181792745,-4.684440088,-5.032919673
-4.88593307,-4.816107736,-4.532132978,-4.711273795,-4.210420158,-4.539947634
-4.447296694,-4.500084091,-4.415160393,-4.631066238,-4.257673116,-4.483792354
-4.277409612,-4.413574908,-4.05383121,-4.368702992,-3.988937044,-4.263730813
-3.745333513,-4.145127149,-3.670252492,-4.023431102,-3.485827726,-3.693154411
